mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
46.728626,55.63189,324.61475,4043.0322,0.15584394,0.6325002,0.88808984,0.4372304,0.4452295,0.10350215,2.8753197,6.1679673,23.122734,464.10648,0.012601012,0.2046476,0.32668734,0.066467054,0.10311154,0.01931351,62.305088,74.34301,441.53506,6560.542,0.17450656,1.7766359,2.1873314,0.6672877,0.8876654,0.19485341
-4.8572245,57.953648,-28.611258,-760.9637,-0.02278015,-0.20149337,-0.37479916,-0.13161065,-0.021590741,0.053145282,-0.043212734,6.679517,0.5586316,-84.20368,0.012455448,-0.088901296,-0.154864,-0.047400165,0.05054406,0.0018379879,-12.179527,58.27817,-76.8907,-1549.5184,-0.06623717,-0.5541213,-1.15277,-0.3792823,-0.11798167,0.044302244
14.66344,0.39488074,115.467186,512.1031,0.22890079,0.60924613,0.867118,0.33164924,0.45380116,0.13330778,2.7417135,5.4572477,22.434837,351.47232,0.03387366,0.20214859,0.3336152,0.07023269,0.103300676,0.0301731,14.841332,-0.1219101,158.3199,879.0014,0.23865056,0.9612013,1.1352062,0.34343344,0.69821423,0.16345365
45.66025,55.15888,326.81784,4145.7383,0.17727269,0.63270706,0.8884544,0.43745455,0.4449863,0.11001601,3.0170987,6.4396734,23.128849,486.30493,0.013774533,0.20467997,0.32410142,0.065906525,0.10313246,0.023122113,60.532066,74.12967,437.46396,6463.0825,0.21174213,1.7672453,2.2103674,0.6906889,0.8750065,0.19931601
46.34094,57.447624,322.51468,4012.0823,0.16284697,0.6324727,0.88820827,0.43726036,0.44662437,0.10350328,3.0807047,6.5469966,23.132559,482.46692,0.0103292605,0.20464793,0.32588276,0.06707527,0.10285952,0.019802405,61.465652,78.09142,434.6957,6462.105,0.17187788,1.7737709,2.2524211,0.6601882,0.87255025,0.19277236
45.057175,57.061584,329.64087,4148.896,0.13483188,0.6325762,0.88792896,0.43708357,0.42887536,0.10827221,3.0160131,6.133288,23.139462,478.63373,0.0027457834,0.20467292,0.32477105,0.07081508,0.10301782,0.024815474,62.452415,73.60464,438.46707,6525.5625,0.13386539,1.7584918,2.13444,0.65430105,0.8825275,0.20211154
45.9328,56.417923,329.88788,4046.287,0.19027615,0.6325815,0.88854176,0.43750983,0.44766217,0.10703405,3.1326375,6.2645726,23.125147,476.6442,0.025307715,0.20470601,0.33280006,0.06713,0.103177905,0.020496983,59.31517,78.16467,440.16165,6464.3325,0.2261329,1.7206663,2.225511,0.70616275,0.87964374,0.18771407
-8.938382,42.38528,-27.41802,-868.80585,0.04832,-0.026974382,-0.24263792,-0.13223231,0.23811543,0.118392535,-0.10084801,6.6669674,3.7980366,-39.640453,0.03298825,0.022031639,-0.097116694,-0.042712323,0.092238516,0.023128117,-13.387207,51.357887,-112.558395,-1501.306,0.07643913,-0.014972355,-0.6537025,-0.30644572,0.3084825,0.15592672
45.712677,57.095688,325.40326,4079.7966,0.2060037,0.632872,0.8887918,0.43762636,0.44503856,0.120184384,3.1083317,6.6483793,23.127949,488.08435,0.026033573,0.20479564,0.32993168,0.06941114,0.10279637,0.02582445,58.560944,76.95814,436.81393,6415.6167,0.24092159,1.684509,2.0876763,0.68081695,0.88626814,0.22283989
46.03708,55.97501,327.52094,4050.1118,0.18362431,0.63270473,0.8884149,0.43746728,0.43364772,0.11291847,3.1252296,6.579251,23.13292,470.1603,0.013751317,0.20471896,0.3245779,0.066829346,0.10300947,0.02497688,61.455456,74.13408,439.75766,6414.037,0.19482951,1.7289126,2.1134336,0.6663197,0.88517416,0.20963581
-5.395257,27.911592,-49.32212,-816.1788,0.046465944,-0.05003938,-0.19761615,-0.13379465,0.1401908,0.08898469,0.33596656,6.703906,3.3242376,-24.937479,0.024942117,-0.02593878,-0.15752879,-0.045213427,0.08531935,0.011096157,-10.632359,18.067568,-78.738174,-1373.9816,0.012125798,-0.33965406,-0.8243286,-0.30928075,-0.005845784,0.072614
7.206533,10.146287,36.026516,-10.848262,0.03153778,-0.03798628,-0.037554514,-0.03118651,0.08226554,0.060191803,-0.08058777,0.7423701,-0.2419389,-46.075603,0.004284078,-0.03168528,-0.041817434,-0.005271007,0.0102589,0.0039882846,5.6145,7.2855034,37.482647,-5.3616347,0.04394234,-0.014713403,-0.13978496,-0.041642614,0.07738693,0.071829185
-6.246911,38.266777,-51.735085,-787.0765,0.030223861,-0.14287022,-0.36047456,-0.14003958,0.10285594,0.08415235,0.0066144825,6.7239294,2.9692643,-67.40477,0.028067663,-0.060411207,-0.19621553,-0.04824074,0.07863571,0.011192274,-12.323027,28.587294,-73.25926,-1564.725,-0.010189682,-0.42039755,-1.0805659,-0.38391834,-0.032869607,0.09225251
45.1155,57.102386,329.764,3969.0364,0.20279951,0.6327699,0.8887168,0.43757278,0.44462252,0.11867312,3.151026,6.543962,23.129787,489.5614,0.024721745,0.20472938,0.32838163,0.06902673,0.103179365,0.024217864,60.72093,80.34128,440.1574,6422.674,0.24464364,1.6254622,2.1236053,0.6757548,0.89288145,0.20728594
-6.856248,27.702364,-29.643194,-849.76605,0.05150485,-0.025399448,-0.19692872,-0.1436682,0.18145816,0.10834051,-0.12687367,6.5050282,1.6510991,-30.026438,0.032904375,0.02328692,-0.14028522,-0.043796126,0.08909601,0.020496069,-9.350882,34.09509,-95.52191,-1428.4296,0.06835017,-0.057045247,-0.7183271,-0.3217072,0.15760218,0.13579531
-11.961686,9.822493,-74.56457,-1491.624,0.06616689,-0.08786382,-0.22352694,-0.13514854,0.19584626,0.118811846,-0.08755057,6.099655,1.9552981,-29.415262,0.036020022,-0.011016169,-0.13121909,-0.045342214,0.0894208,0.021209018,-13.586924,0.6291027,-143.81828,-1967.6549,0.037439995,-0.45113632,-0.8641332,-0.37864622,0.109389916,0.11707253
47.160683,48.216507,328.57312,4176.4937,0.14812724,0.35573736,0.88552034,0.43606535,0.10147061,0.055414878,3.161012,6.480669,23.101198,495.75793,0.03435261,0.19174844,0.33197182,0.07054321,0.051964454,0.026166422,54.278233,42.84446,390.5694,5934.981,0.07476533,0.4824317,1.2079829,0.3877284,-0.035282344,0.034392945
